titre_ar,slug_attendu,notes
أسد في الغابة,asad-fi-al-ghaba,exemple du contrat §3
قط في المكتبة,qitt-fi-al-maktaba,exemple du contrat §3
دب صغير,dubb-saghir,
فراشة ملونة,farasha-mulawwana,
حصان يركض,hisan-yarkud,ḥ→h
سمكة في البحر,samaka-fi-al-bahr,
طيور في السماء,tuyur-fi-al-sama,ṭ→t
زهرة جميلة,zahra-jamila,
قطة مع أطفال,qitta-maa-atfal,
أرنب أبيض,arnab-abyad,
ضفدع على ورقة,dafda-ala-waraqa,ḍ→d
ثعلب في الغابة,thalab-fi-al-ghaba,
نحلة وزهرة,nahla-wa-zahra,
قرد مرح,qird-marah,
فيل كبير,fil-kabir,
بطة صفراء,batta-safra,
سلحفاة بطيئة,sulhafa-batia,
عصفور صغير,usfur-saghir,ʿ→supprimé
نمر مخطط,namir-mukhattit,
دلفين يقفز,dalfin-yaqfiz,
كلب وفي,kalb-wafi,
قنفذ لطيف,qunfudh-latif,
حوت في المحيط,hut-fi-al-muhit,ḥ→h
صقر يحلق,saqr-yuhaliq,ṣ→s
تمساح نائم,timsah-naim,
أخطبوط ملون,ukhtabut-mulawwan,
زرافة طويلة,zarafa-tawila,
خروف صغير,kharuf-saghir,
بقرة في المرج,baqara-fi-al-marj,
غزال رشيق,ghazal-rashiq,
